Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-12 02:05:00,13.7875,83.8000
2025-09-12 02:06:00,13.7950,83.8325
2025-09-12 02:07:00,13.8000,83.8025
2025-09-12 02:08:00,13.8000,83.7800
2025-09-12 02:09:00,13.7950,83.7725
2025-09-12 02:10:00,13.7875,83.8575
2025-09-12 02:11:00,13.7850,83.8500
2025-09-12 02:12:00,13.7950,83.9050
2025-09-12 02:13:00,13.7800,83.8150
2025-09-12 02:14:00,13.7800,83.8750
2025-09-12 02:15:00,13.7575,83.8425
2025-09-12 02:16:00,13.7650,83.8775
2025-09-12 02:17:00,13.7650,84.0050
2025-09-12 02:18:00,13.7750,84.0225
2025-09-12 02:19:00,13.7775,83.9450
2025-09-12 02:20:00,13.7650,83.9050
2025-09-12 02:21:00,13.7775,83.8925
2025-09-12 02:22:00,13.7750,83.9650
2025-09-12 02:23:00,13.7775,83.9525
2025-09-12 02:24:00,13.7750,83.7000
2025-09-12 02:25:00,13.7775,83.8650
2025-09-12 02:26:00,13.7750,83.9000
2025-09-12 02:27:00,13.7475,83.8425
2025-09-12 02:28:00,13.7575,83.8300
2025-09-12 02:29:00,13.7850,83.7600
2025-09-12 02:30:00,13.7825,83.6500
2025-09-12 02:31:00,13.7625,83.9875
2025-09-12 02:32:00,13.7750,83.9250
2025-09-12 02:33:00,13.7675,84.0350
2025-09-12 02:34:00,13.7475,83.9300
2025-09-12 02:35:00,13.7625,84.0500
2025-09-12 02:36:00,13.7650,83.9000
2025-09-12 02:37:00,13.7225,83.9675
2025-09-12 02:38:00,13.7575,84.0700
2025-09-12 02:39:00,13.7600,84.0675
2025-09-12 02:40:00,13.7400,84.0175
2025-09-12 02:41:00,13.7650,84.1000
2025-09-12 02:42:00,13.7625,84.1625
2025-09-12 02:43:00,13.7875,84.0675
2025-09-12 02:44:00,13.7375,84.1000
2025-09-12 02:45:00,13.7650,84.0900
2025-09-12 02:46:00,13.7525,84.1300
2025-09-12 02:47:00,13.7750,84.1150
2025-09-12 02:48:00,13.7475,83.9750
2025-09-12 02:49:00,13.7475,84.0275
2025-09-12 02:50:00,13.7400,84.0600
2025-09-12 02:51:00,13.7625,84.1200
2025-09-12 02:52:00,13.7575,84.0750
2025-09-12 02:53:00,13.7625,84.0300
