Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-04 04:36:00,13.2200,84.4175
2025-09-04 04:37:00,13.2075,84.3050
2025-09-04 04:38:00,13.2150,84.4675
2025-09-04 04:39:00,13.2375,84.3950
2025-09-04 04:40:00,13.2100,84.4250
2025-09-04 04:41:00,13.2400,84.7150
2025-09-04 04:42:00,13.2375,84.6300
2025-09-04 04:43:00,13.2125,84.4775
2025-09-04 04:44:00,13.2475,84.0425
2025-09-04 04:45:00,13.2175,84.6875
2025-09-04 04:46:00,13.2175,84.3950
2025-09-04 04:47:00,13.2175,84.5825
2025-09-04 04:48:00,13.2450,84.8400
2025-09-04 04:49:00,13.2375,84.5475
2025-09-04 04:50:00,13.2300,84.2300
2025-09-04 04:51:00,13.2175,84.2525
2025-09-04 04:52:00,13.2075,84.2500
2025-09-04 04:53:00,13.2350,84.5325
2025-09-04 04:54:00,13.2300,84.2575
2025-09-04 04:55:00,13.2150,84.5650
2025-09-04 04:56:00,13.2275,84.2250
2025-09-04 04:57:00,13.2250,84.6700
2025-09-04 04:58:00,13.2200,84.4225
2025-09-04 04:59:00,13.2375,84.4950
2025-09-04 05:00:00,13.2325,84.1550
2025-09-04 05:01:00,13.2350,84.1100
2025-09-04 05:02:00,13.2475,84.4750
2025-09-04 05:03:00,13.2450,84.2125
2025-09-04 05:04:00,13.2425,84.3650
2025-09-04 05:05:00,13.2450,84.1550
2025-09-04 05:06:00,13.2350,84.1100
2025-09-04 05:07:00,13.2450,84.2700
2025-09-04 05:08:00,13.2350,84.6625
2025-09-04 05:09:00,13.2475,84.2625
2025-09-04 05:10:00,13.2400,84.5100
2025-09-04 05:11:00,13.2350,84.4950
2025-09-04 05:12:00,13.2550,84.2200
2025-09-04 05:13:00,13.2175,84.3600
2025-09-04 05:14:00,13.2300,84.6550
2025-09-04 05:15:00,13.2575,84.3125
2025-09-04 05:16:00,13.2475,84.2775
2025-09-04 05:17:00,13.2725,84.6450
2025-09-04 05:18:00,13.2325,84.3875
2025-09-04 05:19:00,13.2425,84.3250
2025-09-04 05:20:00,13.2475,84.3725
2025-09-04 05:21:00,13.2350,84.4275
2025-09-04 05:22:00,13.2650,84.0350
2025-09-04 05:23:00,13.2250,84.4475
2025-09-04 05:24:00,13.2475,84.4375
2025-09-04 05:25:00,13.2500,84.1200
2025-09-04 05:26:00,13.2350,84.5125
2025-09-04 05:27:00,13.2250,84.4850
2025-09-04 05:28:00,13.2250,84.1500
2025-09-04 05:29:00,13.2325,84.5425
2025-09-04 05:30:00,13.2175,84.3000
2025-09-04 05:31:00,13.2175,84.2450
2025-09-04 05:32:00,13.2450,84.1950
2025-09-04 05:33:00,13.2300,84.4250
2025-09-04 05:34:00,13.2125,84.5975
2025-09-04 05:35:00,13.2100,84.4825
2025-09-04 05:36:00,13.2275,84.1250
2025-09-04 05:37:00,13.2450,84.4700
2025-09-04 05:38:00,13.2325,84.1875
2025-09-04 05:39:00,13.2100,84.6300
2025-09-04 05:40:00,13.2150,84.4925
2025-09-04 05:41:00,13.2075,84.6300
2025-09-04 05:42:00,13.2275,84.1700
2025-09-04 05:43:00,13.2450,84.3500
2025-09-04 05:44:00,13.2275,84.1175
2025-09-04 05:45:00,13.2350,84.4325
2025-09-04 05:46:00,13.2300,84.7950
2025-09-04 05:47:00,13.2300,84.3950
2025-09-04 05:48:00,13.2175,84.5750
2025-09-04 05:49:00,13.2425,84.7200
2025-09-04 05:50:00,13.2350,84.5000
2025-09-04 05:51:00,13.2350,84.3750
2025-09-04 05:52:00,13.2450,84.4275
2025-09-04 05:53:00,13.2550,84.4850
2025-09-04 05:54:00,13.2450,84.5650
2025-09-04 05:55:00,13.2475,84.3150
2025-09-04 05:56:00,13.2275,84.6100
2025-09-04 05:57:00,13.2600,84.3650
2025-09-04 05:58:00,13.2525,84.7125
2025-09-04 05:59:00,13.2475,84.6475
2025-09-04 06:00:00,13.2425,84.3475
2025-09-04 06:01:00,13.2550,84.3875
2025-09-04 06:02:00,13.2475,84.2625
2025-09-04 06:03:00,13.2350,84.5325
2025-09-04 06:04:00,13.2425,84.4675
2025-09-04 06:05:00,13.2450,84.5550
2025-09-04 06:06:00,13.2500,84.4775
2025-09-04 06:07:00,13.2350,84.0950
2025-09-04 06:08:00,13.2250,84.3650
2025-09-04 06:09:00,13.2475,84.2475
2025-09-04 06:10:00,13.2350,84.4475
2025-09-04 06:11:00,13.2300,84.7075
2025-09-04 06:12:00,13.2175,84.9050
2025-09-04 06:13:00,13.2075,84.5425
2025-09-04 06:14:00,13.2300,84.7825
2025-09-04 06:15:00,13.2650,84.3550
2025-09-04 06:16:00,13.2375,84.5500
2025-09-04 06:17:00,13.2400,84.2425
2025-09-04 06:18:00,13.2425,84.4000
2025-09-04 06:19:00,13.2575,84.4325
2025-09-04 06:20:00,13.2475,84.2875
2025-09-04 06:21:00,13.2300,84.0925
2025-09-04 06:22:00,13.2275,84.4375
2025-09-04 06:23:00,13.2175,84.6625
2025-09-04 06:24:00,13.2375,84.3000
2025-09-04 06:25:00,13.2350,84.8625
2025-09-04 06:26:00,13.2250,84.6525
2025-09-04 06:27:00,13.2400,84.7950
2025-09-04 06:28:00,13.2250,84.4800
2025-09-04 06:29:00,13.2475,84.6500
2025-09-04 06:30:00,13.2350,84.3000
2025-09-04 06:31:00,13.2175,84.7900
2025-09-04 06:32:00,13.2350,84.7475
2025-09-04 06:33:00,13.2300,85.0175
2025-09-04 06:34:00,13.2175,84.6225
2025-09-04 06:35:00,13.2525,84.3225
2025-09-04 06:36:00,13.2575,84.6575
2025-09-04 06:37:00,13.2450,84.8300
2025-09-04 06:38:00,13.2200,84.4600
2025-09-04 06:39:00,13.2525,84.7100
2025-09-04 06:40:00,13.2475,84.8200
2025-09-04 06:41:00,13.2450,84.6475
2025-09-04 06:42:00,13.2325,84.2925
2025-09-04 06:43:00,13.2175,84.6400
2025-09-04 06:44:00,13.2575,84.7050
2025-09-04 06:45:00,13.2350,84.3750
2025-09-04 06:46:00,13.2450,84.6450
2025-09-04 06:47:00,13.2350,84.7950
2025-09-04 06:48:00,13.2250,84.3400
2025-09-04 06:49:00,13.2475,84.6475
2025-09-04 06:50:00,13.2450,84.2225
2025-09-04 06:51:00,13.2450,84.5975
2025-09-04 06:52:00,13.2450,84.6875
2025-09-04 06:53:00,13.2350,84.2725
2025-09-04 06:54:00,13.2550,84.6100
2025-09-04 06:55:00,13.2325,84.7450
2025-09-04 06:56:00,13.2275,84.4200
2025-09-04 06:57:00,13.2350,84.6300
2025-09-04 06:58:00,13.2650,84.4600
2025-09-04 06:59:00,13.2375,84.5325
2025-09-04 07:00:00,13.2375,84.5075
2025-09-04 07:01:00,13.2175,84.7125
2025-09-04 07:02:00,13.2425,84.8075
