No.s	Time	T1	Unit
598	20:55:10	5.4	C
599	20:55:25	5.4	C
600	20:55:40	5.4	C
601	20:55:55	5.4	C
602	20:56:10	5.4	C
603	20:56:25	5.4	C
604	20:56:40	5.4	C
605	20:56:55	5.4	C
606	20:57:10	5.4	C
607	20:57:25	5.4	C
608	20:57:40	5.4	C
609	20:57:55	5.4	C
610	20:58:10	5.4	C
611	20:58:25	5.4	C
612	20:58:40	5.4	C
613	20:58:55	5.4	C
614	20:59:10	5.4	C
615	20:59:25	5.4	C
616	20:59:40	5.4	C
617	20:59:55	5.4	C
618	21:00:10	5.4	C
619	21:00:25	5.4	C
620	21:00:40	5.4	C
621	21:00:55	5.4	C
622	21:01:10	5.4	C
623	21:01:25	5.4	C
624	21:01:40	5.4	C
625	21:01:55	5.4	C
626	21:02:10	5.4	C
627	21:02:25	5.4	C
628	21:02:40	5.4	C
629	21:02:55	5.4	C
630	21:03:10	5.4	C
631	21:03:25	5.4	C
632	21:03:40	5.4	C
633	21:03:55	5.4	C
634	21:04:10	5.4	C
635	21:04:25	5.4	C
636	21:04:40	5.4	C
637	21:04:55	5.5	C
638	21:05:10	5.4	C
639	21:05:25	5.4	C
640	21:05:40	5.4	C
641	21:05:55	5.4	C
642	21:06:10	5.4	C
643	21:06:25	5.4	C
644	21:06:40	5.4	C
645	21:06:55	5.4	C
646	21:07:10	5.4	C
647	21:07:25	5.4	C
648	21:07:40	5.4	C
649	21:07:55	5.4	C
650	21:08:10	5.4	C
651	21:08:25	5.4	C
652	21:08:40	5.4	C
653	21:08:55	5.4	C
654	21:09:10	5.4	C
655	21:09:25	5.4	C
656	21:09:40	5.4	C
657	21:09:55	5.4	C
658	21:10:10	5.4	C
659	21:10:25	5.4	C
660	21:10:40	5.4	C
661	21:10:55	5.4	C
662	21:11:10	5.4	C
663	21:11:25	5.4	C
664	21:11:40	5.4	C
665	21:11:55	5.4	C
666	21:12:10	5.4	C
667	21:12:25	5.4	C
668	21:12:40	5.4	C
669	21:12:55	5.4	C
670	21:13:10	5.4	C
671	21:13:25	5.4	C
672	21:13:40	5.4	C
673	21:13:55	5.4	C
674	21:14:10	5.4	C
675	21:14:25	5.4	C
676	21:14:40	5.4	C
677	21:14:55	5.4	C
678	21:15:10	5.4	C
679	21:15:25	5.4	C
680	21:15:40	5.4	C
681	21:15:55	5.4	C
682	21:16:10	5.4	C
683	21:16:25	5.4	C
684	21:16:40	5.3	C
685	21:16:55	5.3	C
686	21:17:10	5.4	C
687	21:17:25	5.4	C
688	21:17:40	5.4	C
689	21:17:55	5.3	C
690	21:18:10	5.3	C
691	21:18:25	5.4	C
692	21:18:40	5.4	C
693	21:18:55	5.4	C
694	21:19:10	5.3	C
695	21:19:25	5.3	C
696	21:19:40	5.3	C
697	21:19:55	5.3	C
698	21:20:10	5.9	C
699	21:20:25	5.3	C
700	21:20:40	5.3	C
701	21:20:55	5.3	C
702	21:21:10	5.3	C
703	21:21:25	5.3	C
704	21:21:40	5.3	C
705	21:21:55	5.2	C
706	21:22:10	5.2	C
707	21:22:25	5.2	C
708	21:22:40	5.2	C
709	21:22:55	5.2	C
710	21:23:10	5.2	C
711	21:23:25	5.2	C
712	21:23:40	5.2	C
713	21:23:55	5.2	C
714	21:24:10	5.2	C
715	21:24:25	5.1	C
716	21:24:40	5.1	C
717	21:24:55	5.1	C
718	21:25:10	5.1	C
719	21:25:25	5.1	C
720	21:25:40	5.1	C
721	21:25:55	5.1	C
722	21:26:10	5.1	C
723	21:26:25	5.1	C
724	21:26:40	5.1	C
725	21:26:55	5.1	C
726	21:27:10	5.1	C
727	21:27:25	5.1	C
728	21:27:40	5.1	C
729	21:27:55	5.1	C
730	21:28:10	4.9	C
731	21:28:25	4.9	C
732	21:28:40	4.9	C
733	21:28:55	4.9	C
734	21:29:10	4.9	C
735	21:29:25	4.9	C
736	21:29:40	4.9	C
737	21:29:55	4.9	C
738	21:30:10	4.9	C
739	21:30:25	4.9	C
740	21:30:40	4.9	C
741	21:30:55	4.9	C
742	21:31:10	4.9	C
743	21:31:25	4.9	C
744	21:31:40	4.9	C
745	21:31:55	4.9	C
746	21:32:10	4.9	C
747	21:32:25	4.9	C
748	21:32:40	4.9	C
749	21:32:55	4.9	C
750	21:33:10	4.9	C
751	21:33:25	4.9	C
752	21:33:40	4.8	C
753	21:33:55	4.8	C
754	21:34:10	4.8	C
755	21:34:25	4.8	C
756	21:34:40	4.9	C
757	21:34:55	4.9	C
758	21:35:10	4.9	C
759	21:35:25	4.9	C
760	21:35:40	4.9	C
761	21:35:55	4.8	C
762	21:36:10	4.8	C
763	21:36:25	4.8	C
764	21:36:40	4.8	C
765	21:36:55	4.8	C
766	21:37:10	4.8	C
767	21:37:25	4.8	C
768	21:37:40	4.8	C
769	21:37:55	4.8	C
770	21:38:10	4.8	C
771	21:38:25	4.8	C
772	21:38:40	4.8	C
773	21:38:55	4.8	C
774	21:39:10	4.8	C
775	21:39:25	4.8	C
776	21:39:40	4.7	C
777	21:39:55	4.8	C
778	21:40:10	4.8	C
779	21:40:25	4.8	C
780	21:40:40	4.8	C
781	21:40:55	4.8	C
782	21:41:10	4.8	C
783	21:41:25	4.8	C
784	21:41:40	4.8	C
785	21:41:55	4.8	C
786	21:42:10	4.7	C
787	21:42:25	4.8	C
788	21:42:40	4.9	C
789	21:42:55	4.8	C
790	21:43:10	4.8	C
791	21:43:25	4.8	C
792	21:43:40	4.8	C
793	21:43:55	4.8	C
794	21:44:10	4.8	C
795	21:44:25	4.8	C
796	21:44:40	4.8	C
797	21:44:55	4.8	C
798	21:45:10	4.8	C
799	21:45:25	4.8	C
800	21:45:40	4.8	C
801	21:45:55	4.8	C
802	21:46:10	4.8	C
803	21:46:25	4.7	C
804	21:46:40	4.7	C
805	21:46:55	4.8	C
806	21:47:10	4.7	C
807	21:47:25	4.7	C
808	21:47:40	4.8	C
809	21:47:55	4.8	C
810	21:48:10	4.8	C
811	21:48:25	4.7	C
812	21:48:40	4.8	C
813	21:48:55	4.8	C
814	21:49:10	4.7	C
815	21:49:25	4.7	C
816	21:49:40	4.8	C
817	21:49:55	4.8	C
818	21:50:10	4.8	C
819	21:50:25	4.7	C
820	21:50:40	4.8	C
821	21:50:55	4.7	C
822	21:51:10	4.8	C
823	21:51:25	4.7	C
824	21:51:40	4.7	C
825	21:51:55	4.8	C
826	21:52:10	4.8	C
827	21:52:25	4.8	C
828	21:52:40	4.8	C
829	21:52:55	4.8	C
830	21:53:10	4.8	C
831	21:53:25	4.7	C
832	21:53:40	4.8	C
833	21:53:55	4.8	C
834	21:54:10	4.7	C
835	21:54:25	4.8	C
836	21:54:40	4.7	C
837	21:54:55	4.8	C
838	21:55:10	4.8	C
839	21:55:25	4.8	C
840	21:55:40	4.8	C
841	21:55:55	4.7	C
842	21:56:10	4.8	C
843	21:56:25	4.8	C
844	21:56:40	4.7	C
845	21:56:55	4.7	C
846	21:57:10	4.7	C
847	21:57:25	4.7	C
848	21:57:40	4.8	C
849	21:57:55	4.8	C
850	21:58:10	4.8	C
851	21:58:25	4.8	C
852	21:58:40	4.8	C
853	21:58:55	4.8	C
854	21:59:10	4.7	C
855	21:59:25	4.7	C
856	21:59:40	4.7	C
857	21:59:55	4.7	C
858	22:00:10	4.8	C
859	22:00:25	4.7	C
860	22:00:40	4.7	C
861	22:00:55	4.8	C
862	22:01:10	4.7	C
863	22:01:25	4.7	C
864	22:01:40	4.7	C
865	22:01:55	4.7	C
866	22:02:10	4.8	C
867	22:02:25	4.7	C
868	22:02:40	4.8	C
869	22:02:55	4.7	C
870	22:03:10	4.7	C
871	22:03:25	4.7	C
872	22:03:40	4.7	C
873	22:03:55	4.7	C
874	22:04:10	4.7	C
875	22:04:25	4.7	C
876	22:04:40	4.7	C
877	22:04:55	4.8	C
878	22:05:10	4.8	C
879	22:05:25	4.8	C
880	22:05:40	4.8	C
881	22:05:55	4.8	C
882	22:06:10	4.8	C
883	22:06:25	4.8	C
884	22:06:40	4.8	C
885	22:06:55	4.8	C
886	22:07:10	4.8	C
887	22:07:25	4.8	C
888	22:07:40	4.8	C
889	22:07:55	4.8	C
890	22:08:10	4.8	C
891	22:08:25	4.8	C
892	22:08:40	4.8	C
893	22:08:55	4.8	C
894	22:09:10	4.7	C
895	22:09:25	4.8	C
896	22:09:40	4.8	C
897	22:09:55	4.8	C
898	22:10:10	4.8	C
899	22:10:25	4.8	C
900	22:10:40	4.8	C
901	22:10:55	4.8	C
902	22:11:10	4.8	C
903	22:11:25	4.8	C
904	22:11:40	4.8	C
905	22:11:55	4.8	C
906	22:12:10	4.8	C
907	22:12:25	4.8	C
908	22:12:40	4.8	C
909	22:12:55	4.8	C
910	22:13:10	4.8	C
911	22:13:25	4.8	C
912	22:13:40	4.8	C
913	22:13:55	4.9	C
914	22:14:10	4.8	C
915	22:14:25	4.8	C
916	22:14:40	4.8	C
917	22:14:55	4.8	C
918	22:15:10	4.8	C
919	22:15:25	4.8	C
920	22:15:40	4.8	C
921	22:15:55	4.8	C
922	22:16:10	4.8	C
923	22:16:25	4.8	C
924	22:16:40	4.8	C
925	22:16:55	4.8	C
926	22:17:10	4.8	C
927	22:17:25	4.8	C
928	22:17:40	4.8	C
929	22:17:55	4.8	C
930	22:18:10	4.8	C
931	22:18:25	4.8	C
932	22:18:40	4.7	C
933	22:18:55	4.8	C
934	22:19:10	4.7	C
935	22:19:25	4.7	C
936	22:19:40	4.7	C
937	22:19:55	4.7	C
938	22:20:10	4.7	C
939	22:20:25	4.7	C
940	22:20:40	4.7	C
941	22:20:55	4.7	C
942	22:21:10	4.7	C
943	22:21:25	4.7	C
944	22:21:40	4.7	C
945	22:21:55	4.7	C
946	22:22:10	4.7	C
947	22:22:25	4.7	C
948	22:22:40	4.7	C
949	22:22:55	4.7	C
950	22:23:10	4.6	C
951	22:23:25	4.7	C
952	22:23:40	4.7	C
953	22:23:55	4.7	C
954	22:24:10	4.6	C
955	22:24:25	4.7	C
956	22:24:40	4.6	C
957	22:24:55	4.6	C
958	22:25:10	4.7	C
959	22:25:25	4.6	C
960	22:25:40	4.6	C
961	22:25:55	4.6	C
962	22:26:10	4.6	C
963	22:26:25	4.5	C
964	22:26:40	4.6	C
965	22:26:55	4.5	C
966	22:27:10	4.5	C
967	22:27:25	4.6	C
968	22:27:40	4.5	C
969	22:27:55	4.6	C
970	22:28:10	4.5	C
971	22:28:25	4.5	C
972	22:28:40	4.5	C
973	22:28:55	4.4	C
974	22:29:10	4.4	C
975	22:29:25	4.4	C
976	22:29:40	4.4	C
977	22:29:55	4.5	C
978	22:30:10	4.5	C
979	22:30:25	4.5	C
980	22:30:40	4.4	C
981	22:30:55	4.4	C
982	22:31:10	4.4	C
983	22:31:25	4.4	C
984	22:31:40	4.4	C
985	22:31:55	4.4	C
986	22:32:10	4.4	C
987	22:32:25	4.3	C
988	22:32:40	4.4	C
989	22:32:55	4.4	C
990	22:33:10	4.4	C
991	22:33:25	4.4	C
992	22:33:40	4.4	C
993	22:33:55	4.4	C
994	22:34:10	4.4	C
995	22:34:25	4.4	C
996	22:34:40	4.4	C
997	22:34:55	4.4	C
998	22:35:10	4.3	C
999	22:35:25	4.3	C
