id	Experiment_Day	Temperature
MST60149	21.46806712962963	32.5
MST60149	21.475011574074074	32.5
MST60149	21.481956018518517	32
MST60149	21.488900462962963	32
MST60149	21.495844907407406	32
MST60149	21.502789351851852	32
MST60149	21.509733796296295	33
MST60149	21.51667824074074	32.5
MST60149	21.523622685185185	32.5
MST60149	21.53056712962963	32
MST60149	21.537511574074074	32.5
MST60149	21.544456018518517	33
MST60149	21.551400462962963	33
MST60149	21.558344907407406	33
MST60149	21.565289351851852	32.5
MST60149	21.572233796296295	32.5
MST60149	21.57917824074074	32.5
MST60149	21.586122685185185	32.5
MST60149	21.59306712962963	32.5
MST60149	21.600011574074074	32.5
MST60149	21.606956018518517	32.5
MST60149	21.613900462962963	32.5
MST60149	21.620844907407406	32.5
MST60149	21.627789351851852	32
MST60149	21.634733796296295	32
MST60149	21.64167824074074	32
MST60149	21.648622685185185	32
MST60149	21.65556712962963	32
MST60149	21.662511574074074	32
MST60149	21.669456018518517	31.5
MST60149	21.676400462962963	32
MST60149	21.683344907407406	32
MST60149	21.690289351851852	31.5
MST60149	21.697233796296295	32
MST60149	21.70417824074074	32
MST60149	21.711122685185185	32
MST60149	21.71806712962963	32
MST60149	21.725011574074074	32.5
MST60149	21.731956018518517	32
MST60149	21.738900462962963	32
MST60149	21.745844907407406	31.5
MST60149	21.752789351851852	31.5
MST60149	21.759733796296295	31.5
MST60149	21.76667824074074	32
MST60149	21.773622685185185	31.5
MST60149	21.78056712962963	32
MST60149	21.787511574074074	32
MST60149	21.794456018518517	32
MST60149	21.801400462962963	31.5
MST60149	21.808344907407406	31.5
MST60149	21.815289351851852	31.5
MST60149	21.822233796296295	31.5
MST60149	21.82917824074074	31
MST60149	21.836122685185185	31.5
MST60149	21.84306712962963	31.5
MST60149	21.850011574074074	31.5
MST60149	21.856956018518517	31.5
MST60149	21.863900462962963	31.5
MST60149	21.870844907407406	31.5
MST60149	21.877789351851852	31.5
MST60149	21.884733796296295	31
MST60149	21.89167824074074	31
MST60149	21.898622685185185	31.5
MST60149	21.90556712962963	31.5
MST60149	21.912511574074074	31.5
MST60149	21.919456018518517	31.5
MST60149	21.926400462962963	31
MST60149	21.933344907407406	31
MST60149	21.940289351851852	30.5
MST60149	21.947233796296295	30
MST60149	21.95417824074074	30.5
MST60149	21.961122685185185	30.5
MST60149	21.96806712962963	31.5
MST60149	21.975011574074074	31.5
MST60149	21.981956018518517	31.5
MST60149	21.988900462962963	31.5
MST60149	21.995844907407406	31.5
MST60149	22.002789351851852	31
MST60149	22.009733796296295	31
MST60149	22.01667824074074	31
MST60149	22.023622685185185	30.5
MST60149	22.03056712962963	32
MST60149	22.037511574074074	31.5
MST60149	22.044456018518517	31.5
MST60149	22.051400462962963	31
MST60149	22.058344907407406	31
MST60149	22.065289351851852	31
MST60149	22.072233796296295	30
MST60149	22.07917824074074	31
MST60149	22.086122685185185	35.5
MST60149	22.09306712962963	33
MST60149	22.100011574074074	32.5
MST60149	22.106956018518517	31.5
MST60149	22.113900462962963	31
MST60149	22.120844907407406	30.5
MST60149	22.127789351851852	30.5
MST60149	22.134733796296295	30.5
MST60149	22.14167824074074	30.5
MST60149	22.148622685185185	30
MST60149	22.15556712962963	30.5
MST60149	22.162511574074074	31
MST60149	22.169456018518517	30.5
MST60149	22.176400462962963	30.5
MST60149	22.183344907407406	30.5
MST60149	22.190289351851852	31
MST60149	22.197233796296295	31
MST60149	22.20417824074074	30.5
MST60149	22.211122685185185	30.5
MST60149	22.21806712962963	33.5
MST60149	22.225011574074074	34
MST60149	22.231956018518517	32
MST60149	22.238900462962963	31.5
MST60149	22.245844907407406	32
MST60149	22.252789351851852	33.5
MST60149	22.259733796296295	32
MST60149	22.26667824074074	31.5
MST60149	22.273622685185185	32
MST60149	22.28056712962963	31
MST60149	22.287511574074074	31
MST60149	22.294456018518517	32.5
MST60149	22.301400462962963	31
MST60149	22.308344907407406	31
MST60149	22.315289351851852	31.5
MST60149	22.322233796296295	32.5
MST60149	22.32917824074074	30.5
MST60149	22.336122685185185	30.5
MST60149	22.34306712962963	30.5
MST60149	22.350011574074074	30.5
MST60149	22.356956018518517	32.5
MST60149	22.363900462962963	30.5
MST60149	22.370844907407406	31
MST60149	22.377789351851852	30.5
MST60149	22.384733796296295	30
MST60149	22.39167824074074	31.5
MST60149	22.398622685185185	31.5
MST60149	22.40556712962963	30.5
MST60149	22.412511574074074	31
MST60149	22.419456018518517	31
MST60149	22.426400462962963	31
MST60149	22.433344907407406	31.5
MST60149	22.440289351851852	31
MST60149	22.447233796296295	31
MST60149	22.45417824074074	31
MST60149	22.461122685185185	31.5
MST60149	22.46806712962963	31.5
MST60149	22.475011574074074	30.5
MST60149	22.481956018518517	31
MST60149	22.488900462962963	31.5
MST60149	22.495844907407406	31
MST60149	22.502789351851852	32
MST60149	22.509733796296295	33.5
MST60149	22.51667824074074	33.5
MST60149	22.523622685185185	33
MST60149	22.53056712962963	32
MST60149	22.537511574074074	31.5
MST60149	22.544456018518517	31.5
MST60149	22.551400462962963	31.5
MST60149	22.558344907407406	31.5
MST60149	22.565289351851852	31.5
MST60149	22.572233796296295	31.5
